Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
2,1650507151374,21/04/2022 02:12:31,1650507150656,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-1,18-24 years old
3,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-1-quantised,3
4,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-2-hour,10
5,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-2-minute,11
6,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-3,"""No I don't want to protect my $350 trip"""
7,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-3-quantised,2
8,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-4,flight protection that will help me reschedule/reimburse me if something happens to my flight
9,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-5-hour,10
10,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-5-minute,11
11,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-6,Do not purchase Optional Flight Protection for $30
12,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-6-quantised,2
